fid	nid	filename	filepath	filemime	filesize
192	146	_original	sites/files/gainesfilm/images/vogel-anger_letters2.jpg	image/jpeg	1065823
193	146	thumbnail	sites/files/gainesfilm/images/vogel-anger_letters2.thumbnail.jpg	image/jpeg	2163
194	146	preview	sites/files/gainesfilm/images/vogel-anger_letters2.preview.jpg	image/jpeg	53048
195	147	_original	sites/files/gainesfilm/images/vogel-anger_letters3.jpg	image/jpeg	1082126
196	147	thumbnail	sites/files/gainesfilm/images/vogel-anger_letters3.thumbnail.jpg	image/jpeg	2191
197	147	preview	sites/files/gainesfilm/images/vogel-anger_letters3.preview.jpg	image/jpeg	54312
202	148	_original	sites/files/gainesfilm/images/Pages from macdonald_esquire1.jpg	image/jpeg	410989
203	148	thumbnail	sites/files/gainesfilm/images/Pages from macdonald_esquire1.thumbnail.jpg	image/jpeg	2171
204	148	preview	sites/files/gainesfilm/images/Pages from macdonald_esquire1.preview.jpg	image/jpeg	45770
205	149	_original	sites/files/gainesfilm/images/Pages from macdonald_esquire2.jpg	image/jpeg	626140
206	149	thumbnail	sites/files/gainesfilm/images/Pages from macdonald_esquire2.thumbnail.jpg	image/jpeg	2276
207	149	preview	sites/files/gainesfilm/images/Pages from macdonald_esquire2.preview.jpg	image/jpeg	69842
208	150	_original	sites/files/gainesfilm/images/Pages from macdonald_esquire3.jpg	image/jpeg	576355
209	150	thumbnail	sites/files/gainesfilm/images/Pages from macdonald_esquire3.thumbnail.jpg	image/jpeg	2154
210	150	preview	sites/files/gainesfilm/images/Pages from macdonald_esquire3.preview.jpg	image/jpeg	62996
211	151	_original	sites/files/gainesfilm/images/Pages from macdonald_esquire4.jpg	image/jpeg	633994
212	151	thumbnail	sites/files/gainesfilm/images/Pages from macdonald_esquire4.thumbnail.jpg	image/jpeg	2257
213	151	preview	sites/files/gainesfilm/images/Pages from macdonald_esquire4.preview.jpg	image/jpeg	67247
214	152	_original	sites/files/gainesfilm/images/Pages from macdonald_esquire5.jpg	image/jpeg	568058
215	152	thumbnail	sites/files/gainesfilm/images/Pages from macdonald_esquire5.thumbnail.jpg	image/jpeg	2389
216	152	preview	sites/files/gainesfilm/images/Pages from macdonald_esquire5.preview.jpg	image/jpeg	52575
217	153	_original	sites/files/gainesfilm/images/Pages from macdonald_esquire6.jpg	image/jpeg	629160
218	153	thumbnail	sites/files/gainesfilm/images/Pages from macdonald_esquire6.thumbnail.jpg	image/jpeg	2263
219	153	preview	sites/files/gainesfilm/images/Pages from macdonald_esquire6.preview.jpg	image/jpeg	69252
220	154	_original	sites/files/gainesfilm/images/Pages from macdonald_esquire7.jpg	image/jpeg	535587
221	154	thumbnail	sites/files/gainesfilm/images/Pages from macdonald_esquire7.thumbnail.jpg	image/jpeg	2259
222	154	preview	sites/files/gainesfilm/images/Pages from macdonald_esquire7.preview.jpg	image/jpeg	61284
223	155	_original	sites/files/gainesfilm/images/1000102001.jpg	image/jpeg	385915
224	155	thumbnail	sites/files/gainesfilm/images/1000102001.thumbnail.jpg	image/jpeg	1897
225	155	preview	sites/files/gainesfilm/images/1000102001.preview.jpg	image/jpeg	49334
226	156	_original	sites/files/gainesfilm/images/1000102002.jpg	image/jpeg	372643
227	156	thumbnail	sites/files/gainesfilm/images/1000102002.thumbnail.jpg	image/jpeg	2329
228	156	preview	sites/files/gainesfilm/images/1000102002.preview.jpg	image/jpeg	46444
229	157	_original	sites/files/gainesfilm/images/1000102003.jpg	image/jpeg	412139
230	157	thumbnail	sites/files/gainesfilm/images/1000102003.thumbnail.jpg	image/jpeg	2671
231	157	preview	sites/files/gainesfilm/images/1000102003.preview.jpg	image/jpeg	50524
237	159	preview	sites/files/gainesfilm/images/1000102004.preview.jpg	image/jpeg	39965
236	159	thumbnail	sites/files/gainesfilm/images/1000102004.thumbnail.jpg	image/jpeg	2034
235	159	_original	sites/files/gainesfilm/images/1000102004.jpg	image/jpeg	319818
238	160	_original	sites/files/gainesfilm/images/1000102005.jpg	image/jpeg	354149
